email,pre/post difference
c_1@stu.de.nt,0
c_2@stu.de.nt,14
c_3@stu.de.nt,14
c_4@stu.de.nt,43
c_5@stu.de.nt,43
c_6@stu.de.nt,0
c_7@stu.de.nt,-14
c_8@stu.de.nt,-14
c_9@stu.de.nt,0
c_10@stu.de.nt,-14
c_11@stu.de.nt,57
d_1@stu.de.nt,-14
d_2@stu.de.nt,14
d_3@stu.de.nt,14
d_4@stu.de.nt,43
d_5@stu.de.nt,-14
e_1@stu.de.nt,-14
e_2@stu.de.nt,29
e_3@stu.de.nt,0
e_4@stu.de.nt,-14
e_5@stu.de.nt,0
e_6@stu.de.nt,-14
e_7@stu.de.nt,14
e_8@stu.de.nt,0
e_9@stu.de.nt,-14
e_10@stu.de.nt,0
e_11@stu.de.nt,0
e_14@stu.de.nt,0
e_15@stu.de.nt,14
e_16@stu.de.nt,29
e_17@stu.de.nt,43
e_18@stu.de.nt,29
f_1@stu.de.nt,0
f_2@stu.de.nt,-14
f_3@stu.de.nt,71
f_4@stu.de.nt,43
f_5@stu.de.nt,14
f_9@stu.de.nt,57
f_10@stu.de.nt,-14
f_11@stu.de.nt,29
f_12@stu.de.nt,14
f_13@stu.de.nt,29
f_14@stu.de.nt,0
f_15@stu.de.nt,14
