player,1 off task Fibroblast destroy,1 off task Fibroblast populates,1 off task Meso destroy,1 off task Meso populates,1 off task destroy,1 off task populates,2 off task populates,2 off task Meso destroy,2 off task Meso populates,2 off task destroy,2 off task populates,5 off task populates,5 off task Meso populates,5 off task populates,6 off task Fibroblast populates,6 off task populates,8 off task populates,1 on task IPS destroy,1 on task IPS populates,1 on task destroy,1 on task populates,2 on task Fibroblast destroy,2 on task Fibroblast populates,2 on task IPS destroy,2 on task IPS populates,2 on task destroy,2 on task populates,3 on task Tissue populates,3 on task populates,4 on task Tissue destroy,4 on task Tissue populates,4 on task destroy,4 on task populates,5 on task Fibroblast destroy,5 on task Fibroblast populates,5 on task IPS destroy,5 on task IPS populates,5 on task Tissue destroy,5 on task Tissue populates,5 on task destroy,5 on task populates,7 on task Tissue destroy,7 on task Tissue populates,7 on task destroy,7 on task populates,8 on task Fibroblast destroy,8 on task Fibroblast populates,8 on task IPS populates,8 on task Tissue destroy,8 on task Tissue populates,8 on task destroy,8 on task populates
c_1@stu.de.nt,6,25,0,0,6,25,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_2@stu.de.nt,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,4,0,3,2,7,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_3@stu.de.nt,0,2,1,2,1,4,1,0,1,0,2,0,1,1,0,0,0,1,8,1,8,0,1,0,1,0,2,1,1,0,1,0,1,0,5,0,5,1,1,1,11,0,0,0,0,0,0,0,0,0,0,0
c_4@stu.de.nt,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,2,3,0,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_5@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,1,2,1,2,0,1,0,1,0,1,0,3,0,1,0,1,0,3,3,4,5,4,11
c_6@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,2,0,1,1,3,1,1,0,1,0,1,0,2,0,2,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0
c_7@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,6,1,1,8,8,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_8@stu.de.nt,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,6,0,3,0,9,1,1,2,3,2,3,0,4,0,2,0,1,0,7,3,3,3,3,0,0,0,0,0,0,0
c_9@stu.de.nt,2,11,0,1,2,12,0,0,0,0,0,0,0,0,0,0,0,1,14,1,14,1,6,3,9,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_10@stu.de.nt,3,32,0,0,3,32,0,0,1,0,1,0,0,0,0,0,0,1,10,1,10,1,10,0,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c_11@stu.de.nt,0,1,1,1,1,2,0,1,4,1,4,1,0,1,0,0,0,0,2,0,2,2,5,1,3,3,8,1,1,1,2,1,2,1,4,0,2,1,1,2,7,0,0,0,0,0,0,0,0,0,0,0
d_1@stu.de.nt,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,1,3,4,3,6,0,0,0,0,0,0,0,0,0,0,0
d_2@stu.de.nt,0,0,0,0,0,0,1,0,0,0,1,2,0,2,0,0,0,0,1,0,1,0,5,0,4,0,9,1,1,4,5,4,5,0,1,0,1,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0
d_3@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,1,0,3,0,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
d_4@stu.de.nt,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,1,0,3,1,1,1,2,1,2,0,2,0,2,4,5,4,9,2,3,2,3,0,1,1,0,0,0,2
d_5@stu.de.nt,0,1,0,2,0,3,0,0,0,0,0,0,0,0,1,1,0,0,2,0,2,0,3,0,3,0,6,2,2,0,2,0,2,2,4,0,2,0,2,2,8,0,1,0,1,1,2,1,0,1,1,4
e_1@stu.de.nt,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,1,2,1,2,1,2,0,1,3,4,4,7,0,0,0,0,0,0,0,0,0,0,0
e_2@stu.de.nt,0,0,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,3,0,6,1,1,3,4,3,4,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
e_3@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,14,1,12,3,26,1,1,0,1,0,1,0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
e_4@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,1,2,1,2,0,1,0,2,0,1,0,4,1,2,1,2,0,2,1,1,1,1,4
e_5@stu.de.nt,0,0,0,0,0,0,2,0,0,0,2,2,0,2,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,5,6,5,6,1,4,0,3,1,1,2,8,0,0,0,0,0,0,0,0,0,0,0
e_6@stu.de.nt,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,0,2,0,1,0,3,1,1,0,1,0,1,0,1,0,1,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0
e_7@stu.de.nt,3,4,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,3,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_8@stu.de.nt,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,2,0,2,0,5,0,1,0,6,1,1,1,2,1,2,2,4,0,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0
e_9@stu.de.nt,0,0,0,0,0,0,0,1,4,1,4,5,0,5,0,0,0,0,1,0,1,1,9,0,4,1,13,1,1,6,7,6,7,0,3,1,4,3,4,4,11,0,0,0,0,0,0,0,0,0,0,0
e_10@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,2,3,2,3,0,1,0,2,2,3,2,6,2,3,2,3,1,2,1,1,2,2,5
e_11@stu.de.nt,0,0,0,1,0,1,0,0,5,0,5,0,0,0,0,0,0,0,1,0,1,0,5,0,10,0,15,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_14@stu.de.nt,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,1,4,12,0,2,4,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_15@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,6,0,1,3,7,1,1,3,4,3,4,1,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
e_16@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,2,3,2,3,0,2,0,1,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
e_17@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,4,1,1,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
e_18@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,5,1,1,0,1,0,1,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
f_1@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,0,1,0,1,0,1,0,3,1,2,1,6,1,2,1,2,0,1,1,0,0,0,2
f_2@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,5,6,5,6,0,1,0,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0
f_3@stu.de.nt,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,1,0,1,0,6,0,6,0,12,1,1,4,5,4,5,0,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0
f_4@stu.de.nt,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,3,0,1,1,4,1,1,8,9,8,9,1,2,0,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0
f_5@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7,0,7,0,14,1,1,0,1,0,1,0,2,0,1,3,4,3,7,0,0,0,0,0,0,0,0,0,0,0
f_9@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,1,1,1,2,1,2,0,5,0,2,1,2,1,9,0,1,0,1,0,1,1,1,2,1,4
f_10@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,2,0,1,0,3,1,1,1,2,1,2,0,1,0,1,0,1,0,3,1,3,1,3,4,6,3,0,1,4,10
f_11@stu.de.nt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,2,0,5,1,1,5,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
